Site_Name,Lat,Long,Sharing_own_site,Rent_Taxes,Security_Exp,Power_Charges,Fuel_Charges,Repair_and_Mtce,Infra_Saring_Exp,Loading_Expenses,Other_cell_site_Running_Exp,Lease_Line_Exp,POI_Expenses,OFC_Mtce_Cost,connectivity_expenses,Network_Operation___Mtce_Cost,Network_Insurance,Network_Warehouse_Exp,Vehicle_running_Exp,Total_engineering_expenses,Total_cell_site_Expenses,Total_connectivity_expenses,Total_Expenses,Revenue,Profit,Count_of_Technology
101,10.03427145,76.29463769,0,244,150,321,232,206,0,0,47,6,0,14,20,202,26,32,70,330,1200,1600,3130,6450,3320,5
102,9.97048,76.38114,1,0,0,0,0,226,1381,76,15,34,0,36,70,223,21,27,54,325,1699,2078,4102,4120,18,8
103,9.99355551,76.28010896,1,0,0,0,0,231,1223,63,11,28,0,34,62,202,29,35,53,319,1529,1901,3749,5157,1408,7
104,9.965875,76.29639167,0,253,200,385,189,292,0,0,36,4,0,17,21,229,21,33,33,316,1355,1704,3375,5600,2225,5
105,9.9675,76.30319,1,0,0,0,0,283,1386,53,35,15,0,16,31,216,23,35,37,311,1758,2106,4175,4240,65,6
106,9.98527464,76.279584,0,214,0,366,199,215,0,0,29,24,0,34,58,206,27,23,44,300,1023,1367,2690,6279,3589,5
107,10.01860884,76.34277984,1,0,0,0,0,215,1261,67,42,7,0,13,20,232,29,29,65,355,1586,2006,3947,6170,2223,6
108,9.99083,76.28749,0,287,0,397,195,223,0,0,31,37,0,16,53,202,22,30,37,291,1133,1461,2885,5365,2480,7
109,9.98505393,76.29691467,1,0,0,0,0,236,1248,55,20,7,0,6,13,233,27,24,59,343,1560,1962,3865,6078,2213,6
110,9.9756361,76.28175379,1,0,0,0,0,255,1322,63,35,36,0,6,42,202,21,29,32,284,1676,1992,3952,6784,2832,7
111,9.98091529,76.28686438,0,232,300,322,246,219,0,0,33,30,0,34,64,228,28,26,72,354,1352,1778,3484,6710,3226,5
112,9.91563896,76.31688691,1,0,0,0,0,276,1276,89,45,8,0,24,32,211,20,27,56,314,1687,2057,4058,6319,2261,9
113,9.93568822,76.25986366,0,249,0,304,164,285,0,0,38,28,0,20,48,218,24,21,77,340,1040,1457,2837,6115,3278,7
114,9.93671172,76.31814767,0,260,0,337,182,226,0,0,12,6,0,15,21,207,21,32,31,291,1017,1339,2647,3679,1032,8
115,9.980388889,76.27738889,1,0,0,0,0,298,1350,84,11,15,0,16,31,225,24,26,74,349,1744,2167,4260,4781,521,9
116,9.95777484,76.25619948,1,0,0,0,0,204,1204,47,25,9,0,37,46,234,23,24,46,327,1481,1854,3662,3565,-97,8
117,9.96355201,76.2873344,1,0,0,0,0,286,1350,69,34,6,0,10,16,217,23,39,30,309,1740,2079,4128,6927,2799,9
118,9.95860887,76.28888385,1,0,0,0,0,213,1251,58,37,11,0,26,37,216,21,39,40,316,1560,1916,3792,4652,860,8
119,9.913638889,76.27661111,1,0,0,0,0,216,1208,45,42,29,0,2,31,203,28,26,31,288,1512,1831,3631,5228,1597,7
120,9.95699481,76.29705912,1,0,0,0,0,284,1299,54,11,35,0,12,47,218,21,31,31,301,1649,1981,3931,6381,2450,8
